Zenith Angle (deg),Directivity 60 MHz (dB),Gain 60 MHz (dBi)
0,-11.7807425,-4.490742505
1.857130671,-11.51228394,-4.222283939
5.644082217,-10.97857091,-3.688570913
9.24502361,-10.30237025,-3.012370245
12.2320377,-9.813680063,-2.523680063
15.4278884,-9.228744853,-1.938744853
18.37539051,-8.893692046,-1.603692046
20.64497717,-8.136725197,-0.846725197
25.05779953,-7.346766453,-0.056766453
27.37132939,-6.896364904,0.393635096
29.63872286,-6.565204522,0.724795478
31.98614058,-5.969576012,1.320423988
34.57495552,-5.462950485,1.827049515
37.11294052,-4.977354697,2.312645303
40.08313783,-4.421303283,2.868696717
43.01614352,-3.846664211,3.443335789
45.38204959,-3.41976952,3.87023048
47.55257037,-3.041970436,4.248029564
49.60986372,-2.698281738,4.591718262
51.77572662,-2.355056663,4.934943337
54.03255399,-2.013570781,5.276429219
56.34078966,-1.688921854,5.601078146
58.67666748,-1.39498051,5.89501949
61.16392127,-1.121724398,6.168275602
63.92775041,-0.842298817,6.447701183
67.07941291,-0.597910762,6.692089238
70.78967833,-0.378368029,6.911631971
75.45519886,-0.195404165,7.094595835
80.75154169,-0.117639751,7.172360249
86.00423201,-0.095513854,7.194486146
91.21197023,-0.092612403,7.197387597
96.42566943,-0.086606924,7.203393076
101.7001192,-0.10230653,7.18769347
106.7857234,-0.187557869,7.102442131
111.0399281,-0.352353849,6.937646151
114.4864812,-0.548597959,6.741402041
117.5583118,-0.780299837,6.509700163
120.3195898,-1.03691185,6.25308815
122.8252919,-1.303029011,5.986970989
125.1830822,-1.590973875,5.699026125
127.5138508,-1.908399621,5.381600379
129.8016205,-2.245357121,5.044642879
131.9738423,-2.573764261,4.716235739
134.0701823,-2.915267764,4.374732236
136.3719194,-3.317603586,3.972396414
138.8849364,-3.764362445,3.525637555
141.4728078,-4.254304959,3.035695041
144.1382116,-4.776268486,2.513731514
147.1198632,-5.322564714,1.967435286
148.5380838,-5.637806485,1.652193515
151.1213961,-6.258345634,1.031654366
153.4885126,-6.60541472,0.68458528
155.0939435,-6.925307541,0.364692459
157.2952369,-7.433217769,-0.143217769
159.5140176,-7.835455086,-0.545455086
162.087579,-8.37034742,-1.08034742
164.8474256,-8.874103745,-1.584103745
167.5719288,-9.398778379,-2.108778379
170.5517464,-9.958994108,-2.668994108
173.8245424,-10.54861927,-3.258619275
178.7529621,-11.28676115,-3.996761148
183.1175593,-11.97374919,-4.683749192
185.6958123,-12.26628706,-4.976287063
189.9948877,-12.72586178,-5.435861779
195.3240216,-13.06632982,-5.776329818
200.7020502,-13.30474931,-6.014749312
206.8308192,-13.56663974,-6.276639745
216.1203681,-14.34778849,-7.057788487
227.3880856,-15.79247,-8.50247
240.8115207,-15.70926299,-8.419262993
246.495007,-15.03241972,-7.742419717
254.5843597,-14.59490688,-7.304906883
267.3846001,-14.56351927,-7.27351927
282.3497248,-14.50967583,-7.219675829
293.7591472,-15.01926226,-7.729262255
298.9087384,-15.57267232,-8.282672321
310.2982363,-15.8784183,-8.5884183
321.9133073,-14.65122887,-7.361228869
331.3211777,-13.80897417,-6.518974167
337.9805729,-13.49548503,-6.205485033
343.9512872,-13.23436221,-5.944362209
349.3632235,-12.94199627,-5.651996267
353.5924927,-12.52396802,-5.233968022
358.3578787,-11.96261704,-4.672617038